               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029978,            0.012252,           0.0052803,             0.88077,              0.9253,             0.91215,             0.47636,            0.018535,           0.0072242,           0.0034231,            0.006535,            0.006535,            0.006535
                  37,            0.030432,             0.01193,           0.0056686,             0.89172,             0.90459,             0.91735,             0.51921,            0.018314,           0.0064708,           0.0025673,            0.006436,            0.006436,            0.006436
                  38,            0.029717,            0.011845,           0.0046247,              0.9119,              0.8789,             0.93251,             0.50959,            0.017685,           0.0068143,           0.0028084,            0.006337,            0.006337,            0.006337
                  39,             0.02899,            0.011225,           0.0044486,             0.87695,              0.8535,             0.89388,             0.46289,            0.018164,           0.0073137,           0.0040313,            0.006238,            0.006238,            0.006238
                  40,            0.029869,            0.011658,           0.0044603,             0.89598,             0.94524,             0.92417,             0.52525,            0.016647,           0.0066415,           0.0020716,            0.006139,            0.006139,            0.006139
                  41,            0.028146,            0.011464,           0.0045374,             0.94189,             0.89517,             0.93526,             0.52283,            0.017578,           0.0068253,           0.0027989,             0.00604,             0.00604,             0.00604
                  42,            0.029166,            0.011545,           0.0048295,              0.9118,             0.86976,             0.92423,             0.52263,             0.01736,           0.0066176,           0.0036777,            0.005941,            0.005941,            0.005941
                  43,            0.029821,            0.011378,            0.004643,              0.9535,             0.86488,             0.91692,             0.51357,            0.017523,           0.0065328,           0.0065881,            0.005842,            0.005842,            0.005842
                  44,            0.029527,            0.011978,           0.0051449,             0.97194,             0.73917,             0.90493,             0.50712,            0.018278,           0.0068281,           0.0078089,            0.005743,            0.005743,            0.005743
                  45,            0.028445,            0.011467,           0.0039422,              0.8747,             0.81858,             0.88908,              0.5311,            0.018038,           0.0064934,           0.0063059,            0.005644,            0.005644,            0.005644
                  46,            0.028837,             0.01148,           0.0036641,             0.95092,             0.78389,             0.91365,             0.53772,            0.018056,           0.0064868,           0.0069702,            0.005545,            0.005545,            0.005545
                  47,               0.027,            0.011298,           0.0038799,             0.90393,             0.92663,             0.92673,             0.52599,             0.01717,           0.0072612,           0.0017962,            0.005446,            0.005446,            0.005446
                  48,            0.026912,            0.011257,           0.0041083,              0.8897,             0.86662,             0.93256,             0.53254,            0.017422,           0.0072415,            0.006414,            0.005347,            0.005347,            0.005347
                  49,            0.027063,            0.010875,           0.0037179,             0.89091,             0.89373,              0.9411,             0.53795,            0.017472,           0.0062804,           0.0042589,            0.005248,            0.005248,            0.005248
                  50,            0.027094,            0.011312,           0.0040572,             0.86738,             0.89881,             0.90947,             0.52335,            0.017953,            0.006619,            0.003767,            0.005149,            0.005149,            0.005149
                  51,            0.027708,             0.01106,           0.0035724,             0.86465,             0.83466,             0.92126,             0.53007,            0.017797,           0.0064721,           0.0060573,             0.00505,             0.00505,             0.00505
                  52,            0.026864,            0.011385,           0.0033688,             0.87451,             0.91108,             0.92356,             0.51462,            0.018318,           0.0069229,            0.003077,            0.004951,            0.004951,            0.004951
                  53,            0.028192,            0.011526,           0.0040214,             0.85915,             0.88892,             0.91777,             0.51486,            0.018002,           0.0071985,           0.0034917,            0.004852,            0.004852,            0.004852
                  54,            0.027713,            0.011256,            0.003523,             0.89753,             0.85972,             0.92053,             0.56869,            0.017792,           0.0064118,           0.0062894,            0.004753,            0.004753,            0.004753
                  55,            0.027393,            0.011086,           0.0034166,             0.85626,             0.88471,              0.9094,             0.54559,            0.017695,           0.0065965,           0.0058382,            0.004654,            0.004654,            0.004654
                  56,            0.027147,            0.011146,           0.0034443,             0.94383,             0.85732,              0.9054,             0.51751,            0.017902,           0.0069026,             0.00332,            0.004555,            0.004555,            0.004555
                  57,            0.026723,            0.011324,           0.0031546,             0.88796,             0.92567,             0.92151,             0.53499,            0.017347,           0.0064566,           0.0031947,            0.004456,            0.004456,            0.004456
                  58,            0.027197,            0.011119,           0.0029405,             0.91402,             0.89961,             0.92998,              0.5556,            0.017101,           0.0065352,           0.0023487,            0.004357,            0.004357,            0.004357
                  59,            0.025806,            0.010849,           0.0032329,             0.90403,             0.88373,             0.92947,             0.55186,            0.017152,           0.0063974,           0.0047865,            0.004258,            0.004258,            0.004258
                  60,            0.026145,            0.010514,           0.0027461,             0.84959,             0.87043,             0.91323,             0.53336,            0.017631,            0.006434,           0.0074081,            0.004159,            0.004159,            0.004159
                  61,            0.024406,            0.010714,            0.002587,             0.86293,             0.93932,             0.94276,             0.54709,            0.017055,           0.0066862,           0.0049726,             0.00406,             0.00406,             0.00406
                  62,            0.025338,            0.010824,            0.002791,             0.85353,             0.90586,              0.9189,             0.54468,            0.017065,           0.0064529,           0.0048322,            0.003961,            0.003961,            0.003961
                  63,            0.025721,            0.010596,           0.0027944,             0.84065,             0.83689,             0.90242,                0.53,            0.017407,           0.0065204,           0.0070877,            0.003862,            0.003862,            0.003862
                  64,             0.02599,            0.010844,           0.0034558,             0.88582,             0.83116,             0.91452,             0.53944,             0.01742,           0.0064633,           0.0067454,            0.003763,            0.003763,            0.003763
                  65,            0.024261,            0.010414,           0.0031894,             0.88396,              0.9136,             0.92246,             0.54921,            0.016556,           0.0064955,           0.0031475,            0.003664,            0.003664,            0.003664
                  66,            0.024554,            0.010291,           0.0029146,             0.93065,             0.87377,             0.93082,             0.56055,            0.017071,           0.0067603,           0.0028785,            0.003565,            0.003565,            0.003565
                  67,            0.024926,            0.010247,           0.0031801,             0.91041,             0.85079,             0.91372,             0.52895,            0.017332,           0.0067725,           0.0054292,            0.003466,            0.003466,            0.003466
                  68,            0.025667,            0.010343,           0.0031897,             0.90099,             0.90211,               0.932,             0.56276,            0.016963,           0.0065525,           0.0035056,            0.003367,            0.003367,            0.003367
                  69,            0.024847,            0.010264,           0.0028371,             0.89621,             0.87588,              0.9328,             0.54464,            0.017584,           0.0066101,            0.003517,            0.003268,            0.003268,            0.003268
                  70,            0.024222,             0.01045,           0.0029003,              0.9048,             0.94823,             0.93965,             0.55651,            0.017034,           0.0067748,           0.0022202,            0.003169,            0.003169,            0.003169
                  71,            0.023864,            0.010093,           0.0025149,             0.93288,             0.86624,             0.92872,              0.5597,            0.017051,           0.0069118,           0.0053304,             0.00307,             0.00307,             0.00307
                  72,            0.025692,            0.010913,            0.002783,             0.88866,              0.8369,             0.92014,             0.55657,            0.016518,           0.0063893,           0.0059985,            0.002971,            0.002971,            0.002971
                  73,            0.024525,            0.010197,           0.0029793,             0.87247,             0.86666,             0.91282,             0.54106,            0.016846,           0.0062904,           0.0042547,            0.002872,            0.002872,            0.002872
                  74,            0.024303,            0.010345,           0.0029972,             0.88088,             0.77744,             0.90509,              0.5349,            0.017011,           0.0063907,           0.0091134,            0.002773,            0.002773,            0.002773
                  75,            0.023973,            0.010102,           0.0024455,             0.94523,             0.80178,             0.92632,             0.54619,            0.017181,           0.0064946,           0.0080194,            0.002674,            0.002674,            0.002674
                  76,            0.022842,            0.010392,           0.0023335,             0.85163,             0.91351,             0.93441,              0.5558,            0.016739,           0.0063831,           0.0046287,            0.002575,            0.002575,            0.002575
                  77,             0.02381,           0.0099525,           0.0033283,             0.84517,             0.94329,             0.93087,             0.55426,            0.016806,           0.0065941,           0.0041624,            0.002476,            0.002476,            0.002476
                  78,            0.023184,           0.0099934,           0.0018345,             0.82691,             0.92235,             0.91272,             0.53431,            0.016757,           0.0065484,           0.0049425,            0.002377,            0.002377,            0.002377
                  79,            0.023306,             0.01007,           0.0022025,             0.90882,             0.84759,             0.91341,             0.54275,            0.016731,           0.0063869,           0.0057834,            0.002278,            0.002278,            0.002278
                  80,            0.023833,            0.010176,           0.0020544,             0.86541,             0.83343,             0.91395,             0.53856,            0.016587,            0.006417,           0.0070392,            0.002179,            0.002179,            0.002179
                  81,            0.023586,           0.0098409,           0.0022836,             0.88146,             0.78606,             0.90564,             0.54464,            0.016624,           0.0064657,             0.00864,             0.00208,             0.00208,             0.00208
                  82,            0.022812,           0.0098049,           0.0022153,             0.87233,               0.809,              0.8925,             0.52589,            0.017266,             0.00665,           0.0072557,            0.001981,            0.001981,            0.001981
                  83,            0.022033,            0.009887,           0.0025369,             0.82006,              0.8921,             0.90278,              0.5384,             0.01643,           0.0065862,           0.0061807,            0.001882,            0.001882,            0.001882
                  84,            0.023144,           0.0099106,           0.0031226,             0.87102,             0.89053,             0.90581,             0.53103,            0.016208,           0.0065473,           0.0030459,            0.001783,            0.001783,            0.001783
                  85,            0.023891,           0.0099893,           0.0022476,             0.83738,             0.94496,             0.91829,             0.54757,            0.016177,           0.0064291,           0.0040651,            0.001684,            0.001684,            0.001684
                  86,            0.022854,           0.0098215,           0.0018754,             0.87861,             0.89323,             0.91595,             0.54924,            0.016399,           0.0066269,           0.0036796,            0.001585,            0.001585,            0.001585
                  87,            0.022572,           0.0096766,           0.0018221,             0.86869,             0.85423,             0.90364,             0.53277,             0.01668,           0.0064459,           0.0050882,            0.001486,            0.001486,            0.001486
                  88,            0.022655,           0.0098719,           0.0018823,             0.87825,             0.84568,             0.90275,             0.54462,            0.016406,           0.0065613,           0.0034161,            0.001387,            0.001387,            0.001387
                  89,            0.022134,           0.0096018,           0.0021948,             0.82611,             0.92375,             0.90989,             0.53942,            0.016553,            0.006544,            0.004847,            0.001288,            0.001288,            0.001288
                  90,            0.022093,           0.0098952,           0.0017211,             0.84293,             0.90045,             0.90388,             0.53351,            0.016448,           0.0066154,           0.0037407,            0.001189,            0.001189,            0.001189
                  91,            0.021905,           0.0097435,           0.0013645,             0.86465,             0.88057,             0.90478,             0.53365,            0.016265,           0.0066459,           0.0043197,             0.00109,             0.00109,             0.00109
                  92,            0.021858,           0.0095664,            0.001988,             0.85945,              0.8968,             0.90551,             0.54239,            0.016249,           0.0065788,           0.0041961,            0.000991,            0.000991,            0.000991
                  93,            0.022073,           0.0095392,           0.0013186,             0.88163,             0.85358,             0.91611,             0.55088,            0.015995,           0.0064466,           0.0046649,            0.000892,            0.000892,            0.000892
                  94,            0.021029,           0.0096355,           0.0016121,             0.81588,             0.93374,             0.92018,             0.55409,            0.016304,           0.0065586,           0.0049269,            0.000793,            0.000793,            0.000793
                  95,            0.020772,           0.0093758,           0.0016389,             0.83747,             0.90161,             0.91712,              0.5567,            0.016145,             0.00656,           0.0049829,            0.000694,            0.000694,            0.000694
                  96,            0.021599,           0.0095711,           0.0016798,             0.86906,             0.89805,             0.92179,             0.56289,            0.016014,           0.0066199,            0.004335,            0.000595,            0.000595,            0.000595
                  97,            0.020894,            0.009688,           0.0015626,              0.8642,             0.89339,             0.90792,             0.55366,            0.016192,           0.0065404,           0.0043317,            0.000496,            0.000496,            0.000496
                  98,            0.020925,           0.0095567,           0.0024341,             0.87357,             0.88898,             0.92041,             0.56646,            0.016189,           0.0065412,           0.0041596,            0.000397,            0.000397,            0.000397
                  99,            0.021137,           0.0094738,           0.0025195,             0.84167,             0.93439,             0.91315,             0.55381,            0.016158,           0.0065612,           0.0046033,            0.000298,            0.000298,            0.000298
